,subdomain,Substack reactions,Tweet Count,rankingDetailFreeIncluded,rankingDetailFreeIncludedOrderOfMagnitude
330,kitchenprojects,164.0,0,Tens of thousands of readers,10000.0
331,klcpress,152.0,3,Thousands of readers,1000.0
332,knicksfilmschool,247.0,0,Thousands of readers,1000.0
333,knowlandknows,78.0,77,Thousands of readers,1000.0
334,krystalkyleandfriends,231.0,6,Tens of thousands of readers,10000.0
335,kyla,299.0,52,Tens of thousands of readers,10000.0
336,landdesk,45.0,1,Thousands of readers,1000.0
337,laurakellyfanucci,89.0,0,Thousands of readers,1000.0
338,laurathomas,86.0,0,Thousands of readers,1000.0
339,lawrencekrauss,68.0,26,Thousands of readers,1000.0
340,leandramcohen,0.0,0,Tens of thousands of readers,10000.0
341,lenny,537.0,83,Hundreds of thousands of readers,100000.0
342,lesleychesterman,55.0,14,Thousands of readers,1000.0
343,lettersofnote,243.0,12,Tens of thousands of readers,10000.0
344,levellerconfidential,9.0,0,Thousands of readers,1000.0
345,lewisporter,40.0,0,Thousands of readers,1000.0
346,lex,129.0,24,Tens of thousands of readers,10000.0
347,lianafinck,242.0,3,Thousands of readers,1000.0
348,libertyrpf,130.0,204,Tens of thousands of readers,10000.0
349,linhdinh,168.0,0,Thousands of readers,1000.0
350,lisamariedonovan,14.0,2,Hundreds of readers,100.0
351,lisaolivera,528.0,0,Tens of thousands of readers,10000.0
352,litmagnews,128.0,28,Thousands of readers,1000.0
353,logoarchive,18.0,12,Thousands of readers,1000.0
354,lordcowboy,56.0,0,Thousands of readers,1000.0
355,lordfed,204.0,129,Thousands of readers,1000.0
356,lorefergusonwilbert,109.0,11,Thousands of readers,1000.0
357,maajidnawaz,519.0,334,Tens of thousands of readers,10000.0
358,madge,23.0,34,Tens of readers,10.0
359,mangasplaining,4.0,0,Thousands of readers,1000.0
360,marciatiburi,22.0,0,Hundreds of readers,100.0
361,marcstein,186.0,28,Tens of thousands of readers,10000.0
362,mariannewilliamson,1917.0,0,,
363,marinaamaral,6.0,16,Thousands of readers,1000.0
364,marleegrace,286.0,0,Tens of thousands of readers,10000.0
365,martyrmade,723.0,48,Tens of thousands of readers,10000.0
366,masoncurrey,138.0,2,Tens of thousands of readers,10000.0
367,matchquarters,20.0,134,Thousands of readers,1000.0
368,materialgirrrrl,0.0,0,Hundreds of readers,100.0
369,matthewcklein,116.0,39,Tens of thousands of readers,10000.0
370,matthewyglesias,2873.0,292,Tens of thousands of readers,10000.0
371,mattlabash,306.0,0,Tens of thousands of readers,10000.0
372,mattmiller,8.0,76,Tens of thousands of readers,10000.0
373,mattstoller,612.0,130,Tens of thousands of readers,10000.0
374,mattyselman,9.0,0,Hundreds of readers,100.0
375,mccormickmd,39.0,0,Hundreds of readers,100.0
376,mcrawford,37.0,0,Hundreds of readers,100.0
377,mdcbowen,80.0,6,Thousands of readers,1000.0
378,melindawmoyer,88.0,13,Thousands of readers,1000.0
379,memoirmonday,0.0,3,Tens of thousands of readers,10000.0
380,michaelbhorn,19.0,15,Tens of thousands of readers,10000.0
381,michaelfbird,135.0,40,Thousands of readers,1000.0
382,michaelmoore,2749.0,0,Hundreds of thousands of readers,100000.0
383,michaelperry,64.0,9,Thousands of readers,1000.0
384,michaelshellenberger,2141.0,40,Tens of thousands of readers,10000.0
385,mikeyopp,70.0,2,Hundreds of readers,100.0
386,mindybelz,15.0,1,Thousands of readers,1000.0
387,mlcavanaugh,6.0,1,Thousands of readers,1000.0
388,mnchiefsfan,1000.0,62,Thousands of readers,1000.0
389,mollyknight,362.0,65,Thousands of readers,1000.0
390,mollywizenberg,88.0,0,Thousands of readers,1000.0
391,momspreading,28.0,2,Thousands of readers,1000.0
392,mostfavourednation,19.0,20,Thousands of readers,1000.0
393,mskawi,1.0,0,Thousands of readers,1000.0
394,mule,61.0,25,Tens of thousands of readers,10000.0
395,murraybridgenews,48.0,6,Thousands of readers,1000.0
396,musgrave,59.0,0,Thousands of readers,1000.0
397,myclimatejourney,48.0,2,Tens of thousands of readers,10000.0
398,myqkaplan,46.0,39,Thousands of readers,1000.0
399,mysweetdumbbrain,204.0,1,Tens of thousands of readers,10000.0
400,natashalipman,52.0,5,,
401,nbabigboard,21.0,26,Thousands of readers,1000.0
402,neckar,222.0,0,Tens of thousands of readers,10000.0
403,neilshea,14.0,0,Hundreds of readers,100.0
404,nekocase,394.0,5,Tens of thousands of readers,10000.0
405,neonliterary,44.0,14,Thousands of readers,1000.0
406,netinterest,78.0,3,Tens of thousands of readers,10000.0
407,newcomer,156.0,15,Tens of thousands of readers,10000.0
408,newdiscourses,31.0,20,Thousands of readers,1000.0
409,newsitems,85.0,0,Tens of thousands of readers,10000.0
410,nicoledessainbook,1.0,10,Hundreds of readers,100.0
411,nlckstocks,184.0,15,Thousands of readers,1000.0
412,nnekaj,0.0,0,Thousands of readers,1000.0
413,noahcarl,69.0,0,Thousands of readers,1000.0
414,noahpinion,1437.0,436,Tens of thousands of readers,10000.0
415,nomada,0.0,121,Thousands of readers,1000.0
416,nongaap,77.0,15,Thousands of readers,1000.0
417,nonzero,62.0,9,Tens of thousands of readers,10000.0
418,noraecatlin,0.0,0,Tens of readers,10.0
419,notdrinkingpoison,22.0,8,Thousands of readers,1000.0
420,numlock,150.0,57,Tens of thousands of readers,10000.0
421,oldloserinbrooklyn,0.0,0,Thousands of readers,1000.0
422,olgakaetano,0.0,16,Hundreds of readers,100.0
423,oliverbatemandoesthework,44.0,137,Thousands of readers,1000.0
424,onfootball,237.0,180,Thousands of readers,1000.0
425,outofthecube,1.0,0,Thousands of readers,1000.0
426,pallaviaiyar,15.0,21,Thousands of readers,1000.0
427,paresky,0.0,0,Thousands of readers,1000.0
428,parisbymouth,70.0,0,Tens of thousands of readers,10000.0
429,pattismith,1261.0,0,Tens of thousands of readers,10000.0
430,paulflannery,34.0,0,Thousands of readers,1000.0
431,paulgryan,16.0,0,Hundreds of readers,100.0
432,paullukas,80.0,74,Tens of thousands of readers,10000.0
433,paulwells,840.0,0,Tens of thousands of readers,10000.0
434,pcsnation,2340.0,212,Thousands of readers,1000.0
435,peopleiveloved,149.0,4,Tens of thousands of readers,10000.0
436,petition,84.0,16,Tens of thousands of readers,10000.0
437,platformer,813.0,42,Tens of thousands of readers,10000.0
438,pokrassprompts,13.0,0,Hundreds of readers,100.0
439,polimath,11.0,159,Thousands of readers,1000.0
440,pomp,275.0,0,Hundreds of thousands of readers,100000.0
441,popularinformation,2404.0,63,Hundreds of thousands of readers,100000.0
442,postanly,5.0,0,Tens of thousands of readers,10000.0
443,pragmaticengineer,530.0,189,Hundreds of thousands of readers,100000.0
444,presentage,581.0,0,Tens of thousands of readers,10000.0
445,psychopolitica,21.0,0,Thousands of readers,1000.0
446,publicwitness,74.0,0,Thousands of readers,1000.0
447,purpleinsider,252.0,86,Thousands of readers,1000.0
448,quadrilateral,116.0,20,Thousands of readers,1000.0
449,quoththeraven,490.0,0,Tens of thousands of readers,10000.0
450,radixjournal,148.0,21,Thousands of readers,1000.0
451,randyfeltface,5.0,0,Thousands of readers,1000.0
452,ranflygenring,0.0,0,Hundreds of readers,100.0
453,rationalreflections,157.0,333,Thousands of readers,1000.0
454,razib,329.0,160,Tens of thousands of readers,10000.0
455,realhiphop,0.0,6,Hundreds of readers,100.0
456,reallytanman,12.0,72,Thousands of readers,1000.0
457,redditinvestors,138.0,0,Tens of thousands of readers,10000.0
458,refactoring,112.0,61,Tens of thousands of readers,10000.0
459,rektcapital,78.0,5,Tens of thousands of readers,10000.0
460,relevantdata,40.0,152,Thousands of readers,1000.0
461,remoteview,33.0,0,Hundreds of readers,100.0
462,retrostack,4.0,17,Thousands of readers,1000.0
463,revkin,75.0,86,Thousands of readers,1000.0
464,richardmedhurst,15.0,0,Thousands of readers,1000.0
465,roberthubbell,2954.0,0,Tens of thousands of readers,10000.0
466,robertreich,7096.0,45,Hundreds of thousands of readers,100000.0
467,robertsgreenletter,0.0,0,Tens of readers,10.0
468,robertsimonson,112.0,26,Thousands of readers,1000.0
469,robkhenderson,803.0,68,Tens of thousands of readers,10000.0
470,roddreher,257.0,68,Thousands of readers,1000.0
471,rodneybarnes,20.0,0,Hundreds of readers,100.0
472,rogerpielkejr,305.0,85,Thousands of readers,1000.0
473,rogueways,14.0,68,Hundreds of readers,100.0
474,ronaldrios,37.0,2,Thousands of readers,1000.0
475,rosemarymaccabe,211.0,0,Thousands of readers,1000.0
476,rozenberg,137.0,17,Thousands of readers,1000.0
477,rwmalonemd,16019.0,0,Hundreds of thousands of readers,100000.0
478,saeedjones,330.0,84,Tens of thousands of readers,10000.0
479,saintsandstones,8.0,0,Hundreds of readers,100.0
480,sakeindustrynews,3.0,0,Thousands of readers,1000.0
481,samueldjames,110.0,63,Thousands of readers,1000.0
482,sarahagerty,112.0,0,Tens of thousands of readers,10000.0
483,sarahbessey,147.0,0,Tens of thousands of readers,10000.0
484,sarahblondin,319.0,0,Tens of thousands of readers,10000.0
485,sarahmccoll,0.0,0,Thousands of readers,1000.0
486,sarahwilson,191.0,2,Tens of thousands of readers,10000.0
487,scarycoolsadgoodbye,22.0,0,Thousands of readers,1000.0
488,secretsalsa,0.0,12,Hundreds of readers,100.0
489,selfmade,32.0,0,Thousands of readers,1000.0
490,semianalysis,181.0,49,Tens of thousands of readers,10000.0
491,sensiblemed,1703.0,2,Tens of thousands of readers,10000.0
492,serioustrouble,45.0,0,Tens of thousands of readers,10000.0
493,sethabramson,605.0,17,Tens of thousands of readers,10000.0
494,sfgirlbybay,200.0,0,Thousands of readers,1000.0
495,shannanmartin,41.0,0,Tens of thousands of readers,10000.0
496,sharonblackie,150.0,0,Tens of thousands of readers,10000.0
497,shastakm,2.0,1,Hundreds of readers,100.0
498,shifra,0.0,0,Hundreds of readers,100.0
499,shorterletter,0.0,0,Thousands of readers,1000.0
500,sidechainsociety,34.0,0,Tens of thousands of readers,10000.0
501,signorile,246.0,120,Thousands of readers,1000.0
502,simulationcommander,962.0,0,Thousands of readers,1000.0
503,sinocism,295.0,57,Hundreds of thousands of readers,100000.0
504,siphillipstalkschelsea,2148.0,85,Tens of thousands of readers,10000.0
505,sitwithwhit,182.0,1,Tens of thousands of readers,10000.0
506,skiing,104.0,45,Thousands of readers,1000.0
507,skippedhistory,42.0,0,Thousands of readers,1000.0
508,snowball,297.0,0,Tens of thousands of readers,10000.0
509,snyder,1342.0,17,Tens of thousands of readers,10000.0
510,solana,917.0,31,Tens of thousands of readers,10000.0
511,solomodasostenibile,19.0,0,Thousands of readers,1000.0
512,somethingisaw,0.0,0,Tens of thousands of readers,10000.0
513,speakola,5.0,0,Thousands of readers,1000.0
514,specialeducationtoday,40.0,1,Hundreds of readers,100.0
515,sprezza,79.0,31,Thousands of readers,1000.0
516,spytalk,138.0,24,Tens of thousands of readers,10000.0
517,staceyduguid,183.0,0,Thousands of readers,1000.0
518,stainedpagenews,35.0,17,Thousands of readers,1000.0
519,stanfritz,8.0,28,Tens of thousands of readers,10000.0
520,steady,7848.0,6,Hundreds of thousands of readers,100000.0
521,stephaniekelton,31.0,13,Tens of thousands of readers,10000.0
522,stevekirsch,18679.0,0,Hundreds of thousands of readers,100000.0
523,stillmanmd,137.0,4,Thousands of readers,1000.0
524,strangesounds,284.0,7,Tens of thousands of readers,10000.0
525,streamndestroy,11.0,0,Thousands of readers,1000.0
526,streetnightlive,46.0,48,Thousands of readers,1000.0
527,streetsmartnaturalist,37.0,0,Thousands of readers,1000.0
528,strongstartsinthemind,102.0,0,Thousands of readers,1000.0
529,stuartritchie,40.0,7,Thousands of readers,1000.0
530,subrinaheyink,0.0,0,Thousands of readers,1000.0
531,summerbrennan,257.0,51,Thousands of readers,1000.0
532,susanality,75.0,0,Tens of thousands of readers,10000.0
533,taibbi,12604.0,86,Hundreds of thousands of readers,100000.0
534,takecontrol,1034.0,0,Hundreds of thousands of readers,100000.0
535,talksoon,0.0,0,Hundreds of readers,100.0
536,tatyanadecker,0.0,0,Tens of readers,10.0
537,technically,107.0,1,Tens of thousands of readers,10000.0
538,technofog,1200.0,1,Tens of thousands of readers,10000.0
539,tedgioia,1385.0,58,Tens of thousands of readers,10000.0
540,teganandsara,789.0,10,Tens of thousands of readers,10000.0
541,tenzerstrategics,0.0,63,Thousands of readers,1000.0
542,the100dayproject,0.0,0,Tens of thousands of readers,10000.0
543,theachievementplateau,1.0,0,Hundreds of readers,100.0
544,theairlineobserver,14.0,6,,
545,theankler,405.0,8,Tens of thousands of readers,10000.0
546,thebearcave,157.0,52,Tens of thousands of readers,10000.0
547,thebengalstripe,0.0,0,Hundreds of readers,100.0
548,thebestofjournalism,12.0,0,Tens of thousands of readers,10000.0
549,thebitcoinlayer,237.0,30,Thousands of readers,1000.0
550,thebulwark,8226.0,0,Hundreds of thousands of readers,100000.0
551,thechilliad,8.0,7,Thousands of readers,1000.0
552,thecholent,2.0,0,Hundreds of readers,100.0
553,thecontender,345.0,2,Tens of thousands of readers,10000.0
554,thecoopscoop,10.0,4,Hundreds of readers,100.0
555,thecorners,1821.0,6,Tens of thousands of readers,10000.0
556,thedefiant,140.0,16,Tens of thousands of readers,10000.0
557,thedeletedscenes,99.0,52,Thousands of readers,1000.0
558,thedynamiteshop,5.0,0,Thousands of readers,1000.0
559,thefoodsection,57.0,1,Thousands of readers,1000.0
560,theheartbeat,21.0,0,Thousands of readers,1000.0
561,thehotshotwakeup,95.0,22,Thousands of readers,1000.0
562,thehustlearchitect,2.0,96,Hundreds of readers,100.0
563,thehyphen,322.0,14,Tens of thousands of readers,10000.0
564,theisolationjournals,1044.0,0,Hundreds of thousands of readers,100000.0
565,thejealouscurator,143.0,0,Tens of thousands of readers,10000.0
566,thekaka,339.0,15,Tens of thousands of readers,10000.0
567,thelapcount,76.0,8,Tens of thousands of readers,10000.0
568,thelundloop,35.0,15,Thousands of readers,1000.0
569,themacrotourist,111.0,3,Tens of thousands of readers,10000.0
570,themill,227.0,20,Tens of thousands of readers,10000.0
571,themorningperson,131.0,0,Tens of thousands of readers,10000.0
572,thenewcue,15.0,3,Thousands of readers,1000.0
573,thenewfatherhood,42.0,0,Thousands of readers,1000.0
574,thenexteverything,16.0,5,Thousands of readers,1000.0
575,thenorthstar,1184.0,4,Hundreds of thousands of readers,100000.0
576,thepathosofthings,19.0,26,Hundreds of readers,100.0
577,theplanet,172.0,16,Thousands of readers,1000.0
578,thepresentpsychologist,18.0,0,Thousands of readers,1000.0
579,theprivacysmurf,15.0,0,Thousands of readers,1000.0
580,theprofile,31.0,1,Tens of thousands of readers,10000.0
581,therealdrjudy,227.0,0,Thousands of readers,1000.0
582,thescienceofhitting,138.0,44,Tens of thousands of readers,10000.0
583,thesequence,209.0,71,Hundreds of thousands of readers,100000.0
584,theshortcut,1004.0,28,Hundreds of thousands of readers,100000.0
585,thesoberglow,69.0,0,Thousands of readers,1000.0
586,thesubversivelens,2.0,0,Hundreds of readers,100.0
587,thetranscript,65.0,123,Tens of thousands of readers,10000.0
588,thetransport,57.0,0,Thousands of readers,1000.0
589,theunbiasedscipod,35.0,15,Thousands of readers,1000.0
590,theweeklyupdate,8.0,2,Tens of thousands of readers,10000.0
591,thingofthings,95.0,11,Hundreds of readers,100.0
592,thomasjbevan,101.0,5,Thousands of readers,1000.0
593,thomhartmann,1495.0,39,Tens of thousands of readers,10000.0
594,thosenerdygirls,0.0,4,Tens of thousands of readers,10000.0
595,tictoctrading,1860.0,115,Tens of thousands of readers,10000.0
596,tiffaniedarke,61.0,0,Thousands of readers,1000.0
597,tiffywrites,55.0,0,Hundreds of readers,100.0
598,timothyburke,66.0,0,Hundreds of readers,100.0
599,tinihoward,32.0,0,Thousands of readers,1000.0
600,todayindefi,5.0,219,Thousands of readers,1000.0
601,todayintabs,322.0,0,Tens of thousands of readers,10000.0
602,tommytomlinson,120.0,21,Thousands of readers,1000.0
603,tomryan,2744.0,0,Thousands of readers,1000.0
604,topsecretumbra,0.0,0,Thousands of readers,1000.0
605,torontohistory,4.0,1,Thousands of readers,1000.0
606,tradecompanion,628.0,166,Tens of thousands of readers,10000.0
607,trdcrft,36.0,0,Thousands of readers,1000.0
608,trenchedges,8.0,0,Hundreds of readers,100.0
609,truehoop,78.0,0,Tens of thousands of readers,10000.0
610,truethirty,13.0,0,Hundreds of readers,100.0
611,tsh,148.0,6,Tens of thousands of readers,10000.0
612,twib,29.0,16,Thousands of readers,1000.0
613,twioat,8.0,0,Thousands of readers,1000.0
614,twosylviaspress,10.0,1,Thousands of readers,1000.0
615,tylerknott,73.0,16,Thousands of readers,1000.0
616,uconnwbbweekly,241.0,182,Tens of thousands of readers,10000.0
617,unchartedterritories,223.0,30,Tens of thousands of readers,10000.0
618,understandably,472.0,4,,
619,understandingrome,46.0,0,Hundreds of readers,100.0
620,unrulyfigures,24.0,1,Thousands of readers,1000.0
621,unschoolforwriters,106.0,6,Thousands of readers,1000.0
622,usefulidiots,582.0,6,Tens of thousands of readers,10000.0
623,uxmovement,68.0,0,Tens of thousands of readers,10000.0
624,valeriemonroe,517.0,0,Thousands of readers,1000.0
625,vanguardess,37.0,0,Hundreds of readers,100.0
626,vanyakairos,164.0,118,Thousands of readers,1000.0
627,vblgoldfix,93.0,0,Thousands of readers,1000.0
628,vichara,0.0,0,Tens of readers,10.0
629,vietnamweekly,8.0,46,Thousands of readers,1000.0
630,viewsaremyown,26.0,0,Thousands of readers,1000.0
631,vinayprasadmdmph,2186.0,127,Tens of thousands of readers,10000.0
632,virginiasolesmith,515.0,8,Tens of thousands of readers,10000.0
633,vittles,163.0,0,Tens of thousands of readers,10000.0
634,walkingtheworld,197.0,79,Tens of thousands of readers,10000.0
635,weathertiger,12.0,0,Thousands of readers,1000.0
636,webworm,1366.0,16,Tens of thousands of readers,10000.0
637,welcometothenow,1.0,23,Thousands of readers,1000.0
638,wellactually,0.0,31,Thousands of readers,1000.0
639,wesleyyang,234.0,334,Tens of thousands of readers,10000.0
640,wethefifth,695.0,0,Tens of thousands of readers,10000.0
641,whatiscalledthinking,126.0,33,Thousands of readers,1000.0
642,whattocook,293.0,0,Tens of thousands of readers,10000.0
643,williamhogeland,5.0,85,Thousands of readers,1000.0
644,worldviewbulletin,31.0,4,Thousands of readers,1000.0
645,woymag,0.0,6,Hundreds of readers,100.0
646,writingisjoy,3.0,10,Hundreds of readers,100.0
647,ww2today,59.0,10,Thousands of readers,1000.0
648,yashar,24.0,191,Tens of thousands of readers,10000.0
649,yasko,0.0,0,Hundreds of readers,100.0
650,yeehawtheboys,35.0,4,Hundreds of readers,100.0
651,yetanothervalueblog,107.0,3,Tens of thousands of readers,10000.0
652,yieldfarming,0.0,0,Thousands of readers,1000.0
653,yolandenorrisclark,0.0,0,Thousands of readers,1000.0
654,yolojournal,94.0,0,Tens of thousands of readers,10000.0
655,yrsadaleyward,253.0,0,Thousands of readers,1000.0
656,zdarsky,598.0,0,Tens of thousands of readers,10000.0
657,zedmedia,598.0,41,Tens of thousands of readers,10000.0
658,zeetozen,915.0,0,Thousands of readers,1000.0
659,ziller,127.0,7,Tens of thousands of readers,10000.0
